ID	ABSOLUTE_MOD	RELATIVE_MOD
12541	0.0000	0.0000
4930	0.0000	0.0000
12551	0.0000	0.0000
7201	5.0000	0.0182
7241	0.0000	0.0000
3650	2.0000	0.0408
7541	1.0000	0.0152
2410	0.0000	0.0000
7621	0.0000	0.0000
7841	2.0000	0.0230
4050	0.0000	0.0000
7851	1.0000	0.0370
9801	0.0000	0.0000
3480	0.0000	0.0000
3660	1.0000	0.0133
3960	1.0000	0.0093
9961	0.0000	0.0000
10111	2.0000	0.0137
10121	1.0000	0.0250
10131	0.0000	0.0000
10321	1.0000	0.0071
3790	0.0000	0.0000
11041	1.0000	0.0357
4040	2.0000	0.0057
12671	1.0000	0.0133
17921	0.0000	0.0000
17931	0.0000	0.0000
17981	0.0000	0.0000
4191	1.0000	0.0263
10021	0.0000	0.0000
10271	0.0000	0.0000
10421	0.0000	0.0000
10791	0.0000	0.0000
10921	0.0000	0.0000
10941	0.0000	0.0000
11151	0.0000	0.0000
13681	0.0000	0.0000
14101	0.0000	0.0000
15441	0.0000	0.0000
15511	1.0000	0.0119
6420	2.0000	0.0136
6440	1.0000	0.0526
15541	1.0000	0.0141
19911	1.0000	0.0094
691	0.0000	0.0000
7171	0.0000	0.0000
11251	0.0000	0.0000
11391	0.0000	0.0000
12571	2.0000	0.0148
12611	2.0000	0.0081
17891	2.0000	0.0148
18011	0.0000	0.0000
18061	0.0000	0.0000
4111	1.0000	0.0091
9951	0.0000	0.0000
10071	2.0000	0.0225
10091	5.0000	0.0394
3640	2.0000	0.0208
3690	1.0000	0.0106
3720	2.0000	0.0200
3990	1.0000	0.0055
15431	2.0000	0.0274
15461	0.0000	0.0000
15521	1.0000	0.0175
19831	1.0000	0.0106
20051	1.0000	0.0385
681	1.0000	0.0045
981	0.0000	0.0000
1881	0.0000	0.0000
440	1.0000	0.0625
7131	1.0000	0.0083
20431	8.0000	0.0254
20441	0.0000	0.0000
12491	2.0000	0.0099
17881	1.0000	0.0053
4101	3.0000	0.0210
4131	1.0000	0.1250
4311	1.0000	0.0061
4351	0.0000	0.0000
1350	2.0000	0.0202
1390	0.0000	0.0000
15371	4.0000	0.0286
15641	0.0000	0.0000
19801	1.0000	0.0175
20041	1.0000	0.0143
20071	2.0000	0.0238
20101	0.0000	0.0000
20641	0.0000	0.0000
641	1.0000	0.0417
711	0.0000	0.0000
841	4.0000	0.0526
891	0.0000	0.0000
5031	0.0000	0.0000
1400	1.0000	0.0049
2090	2.0000	0.0180
2200	0.0000	0.0000
7091	0.0000	0.0000
2120	0.0000	0.0000
2210	3.0000	0.0341
6530	1.0000	0.0323
7271	3.0000	0.0112
6991	3.0000	0.0250
7011	5.0000	0.0329
7341	1.0000	0.0094
7881	4.0000	0.0131
12471	1.0000	0.0061
12721	1.0000	0.0278
12811	0.0000	0.0000
7200	0.0000	0.0000
18551	1.0000	0.0417
17741	1.0000	0.0101
17801	1.0000	0.0118
7230	0.0000	0.0000
17901	0.0000	0.0000
18321	0.0000	0.0000
18361	0.0000	0.0000
